Column1,ID,Pin-code,age,Fam members,Education,T.Experience,Income,Mortgage,Fixed Deposit,Demat,Net Banking,Loan
175,1000176,110004,43,4,Graduate,20,680000,0,0,1,1,0
176,1000177,110004,50,3,Graduate,25,352000,1080000,0,0,1,0
177,1000178,110011,27,4,Graduate,3,520000,1952000,0,0,0,0
178,1000179,110004,51,4,Under Graduate,29,192000,0,0,0,1,0
179,1000180,110011,60,1,Under Graduate,37,88000,0,0,0,1,0
180,1000181,110003,49,2,Post Graduate,27,304000,1312000,0,0,1,0
181,1000182,110003,34,4,Graduate,12,80000,648000,0,0,0,0
182,1000183,110004,22,1,Under Graduate,0,1080000,0,0,0,1,0
183,1000184,110004,27,3,Under Graduate,3,1184000,0,0,0,1,1
184,1000185,110004,50,2,Graduate,26,504000,0,0,1,1,0
185,1000186,110004,37,1,Post Graduate,14,920000,0,0,0,1,0
186,1000187,110011,46,1,Under Graduate,23,360000,0,0,0,1,0
187,1000188,110003,44,3,Post Graduate,21,1272000,2520000,0,0,1,1
188,1000189,110003,62,2,Under Graduate,40,1352000,976000,0,0,1,0
189,1000190,110004,53,2,Under Graduate,29,896000,0,0,0,1,0
190,1000191,110004,58,1,Under Graduate,36,744000,0,0,0,1,0
191,1000192,110011,49,1,Post Graduate,25,232000,1120000,0,0,0,0
192,1000193,110003,48,1,Graduate,23,680000,0,0,0,1,0
193,1000194,110011,46,4,Under Graduate,24,168000,0,0,0,1,0
194,1000195,110014,51,2,Under Graduate,29,1152000,0,0,0,1,0
195,1000196,110001,32,4,Under Graduate,10,104000,760000,0,1,1,0
196,1000197,110003,46,1,Under Graduate,24,1320000,0,0,0,0,0
197,1000198,110014,53,4,Under Graduate,31,72000,712000,0,0,1,0
198,1000199,110001,25,4,Under Graduate,3,472000,720000,0,1,1,0
199,1000200,110004,34,1,Post Graduate,11,1264000,0,1,0,1,1
200,1000201,110001,30,1,Post Graduate,6,232000,0,0,0,1,0
201,1000202,110014,33,2,Post Graduate,9,160000,0,0,0,1,0
202,1000203,110001,28,4,Graduate,3,544000,0,0,0,1,0
203,1000204,110001,56,4,Under Graduate,34,520000,0,0,0,1,0
204,1000205,110003,54,2,Graduate,31,488000,840000,0,0,0,0
205,1000206,110011,36,4,Graduate,12,728000,800000,0,0,0,0
206,1000207,110014,47,1,Under Graduate,25,248000,0,0,1,1,0
207,1000208,110011,32,4,Graduate,10,568000,0,0,0,0,0
208,1000209,110004,38,4,Under Graduate,16,584000,0,0,0,1,0
209,1000210,110011,62,4,Under Graduate,39,1376000,2256000,1,0,1,1
210,1000211,110014,49,2,Under Graduate,26,160000,0,0,0,0,0
211,1000212,110011,42,1,Under Graduate,18,440000,0,0,0,0,0
212,1000213,110014,44,2,Under Graduate,22,552000,1672000,0,0,0,0
213,1000214,110014,55,1,Under Graduate,33,1240000,0,0,0,1,0
214,1000215,110004,52,1,Graduate,28,752000,0,0,0,0,0
215,1000216,110011,36,2,Under Graduate,14,736000,1992000,0,0,1,0
216,1000217,110004,25,2,Under Graduate,3,1000000,0,0,0,0,0
217,1000218,110004,37,3,Under Graduate,14,592000,0,0,0,0,0
218,1000219,110004,42,3,Post Graduate,20,576000,0,0,0,1,0
219,1000220,110004,54,1,Post Graduate,30,488000,0,0,0,1,0
220,1000221,110003,30,2,Under Graduate,6,200000,0,0,0,0,0
221,1000222,110001,43,2,Graduate,19,664000,0,0,0,1,0
222,1000223,110001,24,3,Under Graduate,2,832000,0,0,0,0,0
223,1000224,110003,53,3,Post Graduate,25,328000,0,0,0,1,0
224,1000225,110011,50,4,Post Graduate,27,464000,728000,0,0,0,0
225,1000226,110014,37,1,Post Graduate,13,744000,0,0,0,0,0
226,1000227,110014,22,2,Graduate,-1,312000,0,0,0,0,0
227,1000228,110001,45,2,Under Graduate,23,1184000,0,1,0,1,0
228,1000229,110003,45,4,Post Graduate,22,424000,784000,1,1,0,0
229,1000230,110001,46,2,Under Graduate,24,568000,1160000,0,0,0,0
230,1000231,110001,45,1,Graduate,22,736000,0,0,0,1,0
231,1000232,110014,33,4,Post Graduate,10,488000,0,0,0,1,0
232,1000233,110001,44,3,Graduate,19,304000,1080000,0,0,0,0
233,1000234,110011,60,4,Under Graduate,37,464000,0,0,0,1,0
234,1000235,110014,24,1,Graduate,1,640000,1200000,0,0,0,0
235,1000236,110001,36,4,Post Graduate,8,568000,0,0,0,1,0
236,1000237,110014,41,3,Post Graduate,18,712000,0,0,0,1,0
237,1000238,110011,60,1,Post Graduate,38,664000,0,0,0,1,0
238,1000239,110001,55,3,Under Graduate,32,224000,0,0,0,1,0
239,1000240,110001,26,4,Graduate,3,416000,0,0,0,0,0
240,1000241,110014,49,1,Under Graduate,26,560000,1352000,0,0,0,0
241,1000242,110014,46,1,Post Graduate,22,568000,0,0,0,0,0
242,1000243,110014,39,1,Post Graduate,16,600000,2240000,0,0,0,0
243,1000244,110014,63,3,Post Graduate,39,1360000,792000,1,0,1,1
244,1000245,110014,39,4,Under Graduate,17,624000,624000,0,0,1,0
245,1000246,110004,33,2,Graduate,11,200000,0,0,0,0,0
246,1000247,110011,36,2,Post Graduate,14,480000,0,0,0,1,0
247,1000248,110011,51,4,Graduate,29,960000,888000,1,1,1,1
248,1000249,110003,53,2,Under Graduate,29,792000,2112000,0,0,1,0
249,1000250,110011,24,3,Post Graduate,1,440000,904000,0,0,0,0
250,1000251,110003,28,3,Graduate,6,232000,936000,0,0,0,0
251,1000252,110004,52,2,Graduate,28,1360000,2600000,0,0,1,1
252,1000253,110014,63,3,Under Graduate,40,424000,0,0,0,0,0
253,1000254,110004,45,1,Under Graduate,21,1104000,0,0,0,0,0
254,1000255,110004,63,3,Post Graduate,41,1072000,968000,0,0,1,1
255,1000256,110003,64,2,Post Graduate,40,336000,1104000,0,0,0,0
256,1000257,110011,24,4,Post Graduate,0,792000,0,0,0,0,0
257,1000258,110011,64,3,Under Graduate,41,144000,0,0,0,0,0
258,1000259,110001,33,4,Under Graduate,9,192000,0,0,0,1,0
259,1000260,110003,54,1,Under Graduate,30,440000,616000,0,0,1,0
260,1000261,110001,49,1,Under Graduate,27,464000,0,0,0,0,0
261,1000262,110014,40,2,Post Graduate,16,888000,2008000,0,0,1,1
262,1000263,110014,47,1,Post Graduate,23,264000,0,1,0,1,0
263,1000264,110001,25,4,Graduate,1,592000,896000,0,0,1,0
264,1000265,110001,43,2,Under Graduate,19,304000,0,0,0,0,0
265,1000266,110001,47,4,Post Graduate,23,184000,784000,0,1,0,0
266,1000267,110004,61,2,Under Graduate,38,488000,0,0,0,1,0
267,1000268,110014,45,1,Under Graduate,22,648000,1104000,0,0,0,0
268,1000269,110001,62,1,Under Graduate,39,1032000,0,0,0,1,0
269,1000270,110001,41,1,Post Graduate,13,264000,0,0,0,0,0
270,1000271,110003,58,4,Under Graduate,36,504000,0,0,0,1,0
271,1000272,110011,38,4,Graduate,14,560000,0,0,0,1,0
272,1000273,110004,27,4,Under Graduate,3,360000,1264000,0,0,1,0
273,1000274,110014,39,3,Post Graduate,16,520000,0,0,0,1,0
274,1000275,110004,28,4,Under Graduate,5,592000,0,0,1,0,0
275,1000276,110014,47,4,Post Graduate,24,400000,0,0,1,0,0
276,1000277,110004,28,4,Post Graduate,5,176000,872000,0,0,1,0
277,1000278,110001,27,4,Post Graduate,2,240000,0,0,0,0,0
278,1000279,110011,48,4,Under Graduate,26,168000,0,0,0,1,0
279,1000280,110014,37,2,Under Graduate,14,1240000,0,0,0,1,0
280,1000281,110004,31,4,Post Graduate,8,512000,1312000,0,0,1,0
281,1000282,110003,55,4,Post Graduate,31,520000,0,0,0,0,0
282,1000283,110001,32,4,Post Graduate,9,568000,0,0,0,1,0
283,1000284,110003,59,3,Graduate,36,320000,0,0,1,1,0
284,1000285,110003,42,3,Post Graduate,19,552000,0,0,0,1,0
285,1000286,110004,38,3,Graduate,13,552000,0,0,0,0,0
286,1000287,110011,49,3,Graduate,25,360000,1048000,0,0,1,0
287,1000288,110003,35,3,Graduate,12,496000,0,0,0,0,0
288,1000289,110014,42,2,Post Graduate,19,1376000,3128000,1,1,1,1
289,1000290,110001,40,3,Graduate,15,192000,0,0,0,1,0
290,1000291,110003,49,1,Under Graduate,25,640000,0,0,0,0,0
291,1000292,110014,41,3,Graduate,16,64000,704000,0,0,1,0
292,1000293,110004,28,4,Under Graduate,5,304000,1032000,0,0,1,0
293,1000294,110011,43,4,Post Graduate,19,744000,0,0,0,0,0
294,1000295,110011,33,1,Under Graduate,9,440000,0,0,0,1,0
295,1000296,110001,58,2,Post Graduate,34,512000,0,0,0,0,0
296,1000297,110004,32,1,Under Graduate,9,976000,0,0,0,1,0
297,1000298,110004,53,3,Post Graduate,25,560000,0,0,0,1,0
298,1000299,110004,41,2,Under Graduate,19,648000,0,0,0,0,0
299,1000300,110014,39,1,Post Graduate,15,1272000,0,1,0,1,1
300,1000301,110011,32,4,Under Graduate,9,560000,0,0,1,0,0
301,1000302,110004,63,2,Under Graduate,39,1200000,1568000,0,0,0,0
302,1000303,110014,43,2,Under Graduate,21,1216000,0,0,0,1,0
303,1000304,110001,47,4,Under Graduate,25,1560000,4936000,0,0,0,1
304,1000305,110011,46,1,Under Graduate,23,176000,0,0,0,0,0
305,1000306,110004,58,1,Under Graduate,35,176000,984000,0,0,1,0
306,1000307,110001,53,3,Under Graduate,29,632000,0,0,0,1,0
307,1000308,110001,40,1,Post Graduate,18,264000,0,0,0,1,0
308,1000309,110003,30,2,Under Graduate,8,1024000,0,1,0,1,0
309,1000310,110011,60,1,Under Graduate,38,728000,0,0,1,1,0
310,1000311,110011,55,4,Under Graduate,32,312000,0,0,0,1,0
311,1000312,110001,50,1,Under Graduate,26,968000,1336000,0,0,1,0
312,1000313,110011,34,1,Post Graduate,6,168000,0,0,1,1,0
313,1000314,110004,32,3,Under Graduate,9,328000,0,0,0,0,0
314,1000315,110003,61,2,Post Graduate,37,360000,0,0,0,1,0
315,1000316,110001,22,3,Post Graduate,-2,408000,0,0,0,1,0
316,1000317,110003,55,1,Graduate,31,1320000,0,0,0,1,1
317,1000318,110004,38,2,Graduate,16,952000,0,0,0,1,1
318,1000319,110014,25,4,Post Graduate,2,880000,1520000,0,0,1,0
319,1000320,110001,63,3,Graduate,39,160000,0,0,0,0,0
320,1000321,110004,58,1,Graduate,34,512000,1984000,0,0,0,0
321,1000322,110004,42,3,Graduate,20,808000,656000,0,0,0,1
322,1000323,110001,61,1,Under Graduate,39,808000,0,1,1,1,1
323,1000324,110004,57,1,Under Graduate,34,792000,0,0,0,0,1
324,1000325,110011,54,4,Under Graduate,30,1264000,0,0,0,0,1
325,1000326,110014,52,1,Graduate,28,712000,0,0,0,1,0
326,1000327,110011,50,1,Post Graduate,27,640000,0,1,0,1,0
327,1000328,110014,56,2,Under Graduate,32,912000,3216000,0,0,1,0
328,1000329,110014,58,3,Graduate,35,392000,0,0,0,1,0
329,1000330,110011,26,1,Under Graduate,4,1528000,0,0,0,1,0
330,1000331,110011,52,4,Graduate,30,624000,0,0,0,1,0
331,1000332,110004,30,3,Under Graduate,6,224000,0,0,0,0,0
332,1000333,110011,57,1,Graduate,33,336000,0,0,0,1,0
333,1000334,110004,61,1,Under Graduate,38,1120000,0,0,0,0,0
334,1000335,110014,46,1,Graduate,23,360000,0,0,0,1,0
335,1000336,110014,54,2,Under Graduate,32,976000,2880000,1,0,1,0
336,1000337,110001,34,3,Graduate,12,520000,0,0,0,1,0
337,1000338,110003,55,1,Post Graduate,27,544000,0,0,0,1,0
338,1000339,110003,27,2,Under Graduate,3,1224000,3136000,0,0,0,0
339,1000340,110004,37,4,Graduate,13,712000,0,0,0,0,0
340,1000341,110003,57,1,Under Graduate,34,728000,0,0,0,1,0
341,1000342,110001,29,4,Graduate,6,440000,1480000,0,0,1,0
342,1000343,110004,41,2,Under Graduate,19,944000,0,0,0,0,0
343,1000344,110004,33,1,Post Graduate,5,176000,824000,0,0,0,0
344,1000345,110001,52,3,Post Graduate,24,504000,1104000,0,0,1,0
345,1000346,110001,49,4,Graduate,27,96000,624000,0,1,1,0
346,1000347,110004,42,3,Graduate,19,400000,0,0,0,1,0
347,1000348,110011,23,2,Post Graduate,0,344000,0,1,1,1,0
348,1000349,110003,38,4,Under Graduate,15,1384000,0,1,0,1,1
349,1000350,110003,24,2,Under Graduate,2,480000,1056000,0,0,0,1
350,1000351,110003,37,1,Post Graduate,14,904000,0,0,1,1,0
351,1000352,110003,26,4,Graduate,4,1240000,0,0,0,1,1
352,1000353,110004,50,4,Graduate,28,728000,0,0,0,0,0
353,1000354,110003,51,4,Graduate,29,440000,0,0,0,1,0
354,1000355,110011,42,2,Under Graduate,20,1384000,3352000,0,0,1,0
355,1000356,110011,41,3,Post Graduate,19,568000,0,0,0,0,0
356,1000357,110001,54,2,Post Graduate,30,192000,704000,0,0,0,0
357,1000358,110004,36,1,Graduate,14,336000,648000,0,0,1,0
358,1000359,110004,28,2,Under Graduate,6,1128000,0,0,0,1,0
359,1000360,110003,30,1,Post Graduate,6,256000,0,0,0,1,0
360,1000361,110014,33,4,Under Graduate,10,440000,0,0,0,0,0
361,1000362,110004,41,2,Under Graduate,19,1224000,0,0,0,1,0
362,1000363,110001,56,2,Under Graduate,32,904000,2160000,0,0,0,0
363,1000364,110003,23,2,Graduate,0,240000,0,0,0,0,0
364,1000365,110014,52,3,Post Graduate,24,232000,1184000,0,0,0,0
365,1000366,110014,55,1,Graduate,32,1392000,3728000,0,0,1,1
366,1000367,110003,48,1,Post Graduate,24,280000,0,0,0,1,0
367,1000368,110014,30,2,Graduate,8,784000,1400000,0,0,1,0
368,1000369,110004,61,2,Post Graduate,37,240000,1272000,0,0,1,0
369,1000370,110011,29,2,Under Graduate,6,464000,0,0,0,0,0
370,1000371,110011,34,4,Under Graduate,12,200000,1176000,0,0,0,0
371,1000372,110001,56,4,Under Graduate,34,152000,0,0,0,0,0
372,1000373,110003,54,4,Graduate,30,352000,1392000,0,0,1,0
373,1000374,110014,47,4,Under Graduate,25,160000,888000,0,0,1,0
374,1000375,110011,28,2,Under Graduate,5,784000,1760000,0,0,1,0
375,1000376,110011,31,3,Under Graduate,7,720000,0,0,0,1,0
376,1000377,110004,43,3,Under Graduate,21,488000,0,0,0,0,0
377,1000378,110004,28,4,Graduate,5,320000,0,0,0,1,0
378,1000379,110011,45,2,Post Graduate,23,304000,0,0,0,0,0
379,1000380,110011,23,2,Graduate,0,224000,0,0,0,0,0
380,1000381,110011,61,1,Post Graduate,33,272000,0,0,0,1,0
381,1000382,110011,53,2,Post Graduate,29,584000,0,0,0,1,0
382,1000383,110014,63,4,Under Graduate,41,1064000,0,0,0,0,1
383,1000384,110003,42,1,Under Graduate,18,424000,0,0,0,1,0
384,1000385,110001,49,4,Post Graduate,25,168000,0,0,0,1,0
385,1000386,110014,33,3,Under Graduate,9,320000,0,0,0,1,0
386,1000387,110003,28,4,Graduate,5,328000,0,0,0,1,0
387,1000388,110001,29,4,Graduate,5,656000,0,0,0,1,0
388,1000389,110004,52,4,Post Graduate,30,800000,0,0,0,0,1
389,1000390,110004,43,1,Under Graduate,20,1240000,0,0,0,1,0
390,1000391,110003,43,1,Under Graduate,19,360000,0,0,0,1,0
391,1000392,110014,56,3,Post Graduate,32,72000,0,0,0,0,0
392,1000393,110001,52,4,Post Graduate,29,384000,0,0,0,1,0
393,1000394,110014,51,4,Post Graduate,28,144000,872000,1,1,1,0
394,1000395,110001,31,4,Under Graduate,9,640000,0,0,0,1,0
395,1000396,110011,58,2,Under Graduate,35,512000,0,0,0,0,0
396,1000397,110003,48,4,Under Graduate,24,232000,0,0,0,0,0
